2018-05-29 17:12:09,829 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF
2018-05-29 17:12:09,829 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-05-29 17:12:12,097 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 17:12:12,097 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\main\resources
2018-05-29 17:12:12,097 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 17:12:12,113 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\test\resources
2018-05-29 17:12:19,035 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF
2018-05-29 17:12:19,035 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-05-29 17:12:22,915 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 17:12:22,915 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\main\resources
2018-05-29 17:12:22,915 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 17:12:22,930 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\test\resources
2018-05-29 19:56:05,534 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: keyworddriven:keyworddriven:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\pom.xml.
2018-05-29 19:56:06,651 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 19:56:06,667 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\main\resources
2018-05-29 19:56:06,667 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 19:56:06,667 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\test\resources
2018-05-29 19:58:07,336 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: keyworddriven:keyworddriven:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\pom.xml.
2018-05-29 19:58:23,986 [Worker-25] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.nike.com/artifactory/all-repos/javax/mail/javax.mail.api/1.6.1/javax.mail.api-1.6.1.pom
2018-05-29 19:58:23,986 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.mail:javax.mail.api:jar:1.6.1 is missing, no dependency information available
2018-05-29 19:58:24,239 [Worker-26] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.nike.com/artifactory/all-repos/javax/mail/javax.mail.api/1.6.1/javax.mail.api-1.6.1.pom
2018-05-29 19:58:24,239 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.mail:javax.mail.api:jar:1.6.1 is missing, no dependency information available
2018-05-29 19:58:40,629 [Worker-26] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.nike.com/artifactory/all-repos/javax/mail/javax.mail.api/1.6.1/javax.mail.api-1.6.1.jar
2018-05-29 19:58:40,833 [Worker-25] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.nike.com/artifactory/all-repos/javax/mail/javax.mail.api/1.6.1/javax.mail.api-1.6.1.jar
2018-05-29 19:58:41,233 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 19:58:41,233 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\main\resources
2018-05-29 19:58:41,237 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-29 19:58:41,237 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\ReportPDF\src\test\resources
2018-05-29 19:59:33,424 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.mail:javax.mail.api:jar:1.6.1 is missing, no dependency information available
